,Chinese,English
590,春秋經傳集解三十卷,The Spring and Autumn classics collected 30 volumes
591,1891,1891
592,日本江都,Jiangdu of Japan
593,松江澱山,Songjiang Lake Mountain
594,編,Ed
595,京都五山南禪寺,Goshan Nanzen Temple in Kyoto
596,日本-大阪,"Osaka, Japan"
597,日本神奈川縣橫濱市戶塚區,"Tozuka District, Yokohama City, Kanagawa Prefecture, Japan"
598,天明元年以後,After the first year of dawn
599,淳熙丙午十二月,Chunxi C noon December
600,日本滋賀縣蒲生郡日野町,"Hino Machi, Burasho Prefecture, Shiga Prefecture, Japan"
601,狩谷棭齋,The inaugural valley 棭 lent
602,新編四六必用方與勝覽,The new 46 will use Fang and Sheng Shan
603,抄補,Copy and supplement
604,經筵,Longitude feast
605,山田業廣,Yamada has many fields
606,元和五年之後,Yuan and five years later
607,植邨書屋,The Estate Library
608,四川成都,"Chengdu, Sichuan"
609,寶曆四年以後,Four years later
610,日本東京都千代田區北之丸公園,"Kitanomaru Park, Chiyoda Ward, Tokyo, Japan"
611,中國-福建,China - Fujian
612,日本東京都千代田區皇居,"Imperial House, Chiyoda Ward, Tokyo, Japan"
613,明治年间,Meiji period
614,日本神奈川,"Kanagawa, Japan"
615,寬永十六年後,Sixteen years after Kwanaga
616,日本大分縣佐伯市,"Sabe City, Oita Prefecture, Japan"
617,戰國時期?,The Warring States Period?
618,孔穎達/王德韶/李子雲/朱長才/蘇德融/隋德素/王士雄/趙弘智/長孫無忌/李勣/于志寧/張行成/高季輔/褚遂良/柳奭/谷那律/劉伯莊/賈公彥/范義頵/齊威/柳士宣/孔志約/趙君贊/薛伯珍/史士弘/鄭祖玄/周玄達/李玄植/王真儒,--
619,李公凱,Li Gongkai
620,元代,Yuan Dynasty
621,北礀集,North 礀 set
622,明治十二年至明治十九年,The 12th to 19th years of Meiji
623,當塗郡,Dangtu county
624,日本東京都千代田區北丸公園内,"Hokusaru Park, Chiyoda Ward, Tokyo, Japan"
625,朝鮮-開城市,"Kaesong, North Korea"
626,中國-江蘇-崑山,"Kunshan, Jiangsu, China"
627,日本-東京-內務省,Japan -- Tokyo -- Ministry of Internal Affairs
628,蘇州府吳縣,"Fuwu County, Suzhou"
629,文政十年以後,Ten years after the civil administration
630,元世祖至元二十八年辛卯,
631,日本岐阜,"Gifu, Japan"
632,明治17年,Meiji 17th year
633,長慶七年以後,After seven years in Changqing
634,日本福井縣福井市,"Fukui City, Fukui Prefecture, Japan"
635,昭和二十四年至今,Showa twenty-four years to the present
636,淳煕9年後的宋孝宗朝,Emperor Xiaozong of Song Dynasty in 9 years
637,詩集傳音釋,A collection of poems is translated
638,日本相模國鎌倉郡,"Kamakura Prefecture, Sagami Kingdom, Japan"
639,文化十四年六月,Culture 14 June
640,日本-鹿兒島,"Kagoshima, Japan"
641,日本京都市東福寺龍眠庵,"Ryumian Nunnery, Tohoku Temple, Kyodo City, Japan"
642,明治十七年之前,Seventeen years before the Meiji Period
643,太政官文庫,Taimasato Library
644,日本京都府京都市右京區,"Yukyo District, Kyodo City, Tokyo capital of Japan"
645,元大德十一年,Yuan Da De eleven years
646,沢田一斎,Ishakan Saida
647,高麗京都開城府,"Kaesungfu, Kyoto, Korea"
648,世說新語,The world speaks a new language
649,元,yuan
650,朱熹/程復心,
651,春秋諸傳會通,The Spring and Autumn generations will pass through
652,南宋寧宗前期,Early Ningzong period of the Southern Song Dynasty
653,中國-江西-南昌,"Nanchang, Jiangxi, China"
654,北玉照齋,North Jade Light Zhai
655,日本-東京-上野忍岡,Japan -- Tokyo -- Nobuoka Ueno
656,纂圖增新群書類要類事林廣記,The compilation of new books to add to the class of things in the broad records
657,寶英,Baoying
658,享和壬戌,Enjoy and sirens
659,丹波氏(即多紀氏，多紀元孝等),"Dambo's (i.e. Taki's, Taki's, etc.)"
660,日本岡山縣岡山市?,"Okayama, Okayama Prefecture, Japan?"
661,岡本況齋,Kuisai Okamoto
662,朝鮮宣祖時期?,Joseon Seonjo period?
663,浙江寧波,"Ningbo, Zhejiang"
664,一八八九年後,After 1889
665,明治十八年至明治二十四年,Meiji 18th to Meiji 24th year
666,明和二年至寬政三年,Ming He two years to Kuan Zheng three years
667,元至正八年,Yuan to Zheng eight years
668,南宋末,Late Southern Song Dynasty
669,天台陳先生類編花果卉木全芳備祖,Rooftop Mr. Chen type braid flowers and flowers wood full aromatic prepared ancestor
670,高麗肅宗,King Sukjong of Goryeo
671,題識,identification
672,雍正六年至嘉慶四年,The sixth year of Yongzheng to the fourth year of Jiaqing
673,韓國-首爾,"Seoul, South Korea"
674,鐮倉時期(且北條實時之後),Kamakura Period (and after Kitajo real-time)
675,明治七年至明治十四年,The seventh year of Meiji to the 14th year of Meiji
676,建依別文庫,Jianyibetsu Library
677,日本京都右京區嵯峨,"Saga, Yukyo Prefecture, Kyoto, Japan"
678,清田儋叟,The fields were clear and fond of old people
679,日本東京千代田區,"Chiyoda Ward, Tokyo, Japan"
680,顏氏家藏,The Yan family stash
681,日本-京都,"Kyoto, Japan"
682,增廣太平惠民和劑局方,Enlarge Taiping benefit people and drug bureau side
683,長孫無忌,Eldest son Wuji
684,天和元年前,Preterozoic era
685,日本京都府京都右京區嵯峨北堀町,"Kitahori Saga, Yukyo Ward, Kyoto, the capital of Japan"
686,編撰/注,Edit/note
687,京都妙覺寺,Myokue Temple in Kyoto
688,修定,revise
689,安永四年以後,Ernst & Young four years later
690,日本京都右京區嵯峨北堀町,"Kitahori Saga, Yukyo ward, Kyoto, Japan"
691,誠齋先生南海集,Mr. Seizai Nanhai Collection
692,寬政三年之後,After three years of leniency
693,陳師文,Chen Shiwen
694,榊原玄輔,Kensuke Sakakibara
695,地點,location
696,國朝文類,Chinese and Korean characters
697,代管,escrow
698,明治維新以前,Before the Meiji Restoration
699,廣東肇慶,"Zhaoqing, Guangdong"
700,昭和二十二年之後,The twenty-second year after Showa
701,朝鮮李氏王朝時期,The Lee Dynasty of Korea
702,朝鮮開城市,"Kaesong, North Korea"
703,多紀元簡,multiepoch
704,日本？,Japan?
705,仁宗至徽宗,Renzong to Huizong
706,日本-姬路,Japan - Himeji
707,刊刻,print
708,黃公紹/熊忠,Huang Gongshao/Xiong Zhong
709,浙江,Zhejiang
710,文政十一年以前,Eleven years ago
711,江戶時代中期,The middle Edo period
712,福建省南平市建陽區,"Jianyang District, Nanping City, Fujian Province"
713,日本東京都台東區藏前町,"Ashimai Machi, Taidong District, Tokyo, Japan"
714,日本-東京-港區-赤坂離宮,Japan -- Tokyo -- Port Ward -- Akasaka Iegong
715,京都學校,Kyoto school
716,元至正十一年,Yuan to the eleventh year
717,尹瑜,Yin Yu
718,洪适,Hong Shi
719,日本-福井,Japan - Fukui
720,補鈔,Banknote replenishment
721,日本姬路,Himeji
722,伊勢屋源七,Ise Aya Genji
723,江戶幕府,The Edo shogunate
724,日本四國高知縣,"Kochi Prefecture, Shikoku, Japan"
725,日本京都八幡市,"Yahata, Kyoto, Japan"
726,建永元年之後,After the first year of Jianyong
727,日本福井縣?,"Fukui Prefecture, Japan?"
728,收藏?/題識,Collection? / identification
729,明治十九年至昭和八年,The nineteenth year of Meiji to the eighth year of Showa
730,諸病源候論,On the pathogenesis of various diseases
731,江戶時代,Edo period
732,明治十九年以後,After the nineteenth year of Meiji
733,楊萬里/楊長儒/羅茂良,Yang Wanli/Yang Changru/Luo Maoliang
734,醫學館,Medical museum
735,中國？,China?
736,中國,China
737,中國-福建-建瓯,"Jianou, Fujian, China"
738,元至正二年/明成化九年/江戶前期,Yuan to Zheng two years/Ming Chenghua nine years/early Edo
739,聞人模,Human model
740,李濂,Li Lian
741,嘉定九年,Nine years in Jiading
742,日本-京都-上京,Japan - Kyoto - Tokyo
743,聿修堂,alum
744,江南,Jiangnan
745,芝野六助,Shino Rosuke
746,日本江戶時代德川家齊寬政九年後,Nine years after the Tokugawa Hiroshi of the Edo Period in Japan
747,日本江戶紅葉山,"Red Leaf Mountain, Edo, Japan"
748,日本京都府,The capital of Japan
749,日本神奈川縣鎌倉市,"Kamakura City, Kanagawa Prefecture, Japan"
750,日本-京都-北區,Japan - Kyoto - North
751,金澤文庫,Kanazawa Bunko
752,文化辛未及以後,Culture is not beyond
753,真定提學龍山趙候國寶,Really set learning Longshan Zhao Hou national treasure
754,真定,genidine
755,文選（明州本）,Selected texts (Mingzhou Edition)
756,戶塚宿,Tozuka juku
757,江蘇省張家港市,"Zhangjiagang City, Jiangsu Province"
758,福建南平市建陽區,"Jianyang District, Nanping City, Fujian Province"
759,成簣堂文庫,The Library of Near Success
760,明治18年,Meiji 18th year
761,淺草文庫,Bunko Asakusa
762,经部,Ministry of economy
763,點校,Spot check
764,日本滋賀縣東山道地區,"Higashiyama area, Shiga Prefecture, Japan"
765,中國-福建-建陽,"Jianyang, Fujian, China"
766,愛新覺羅弘曆,Big pig's feet
767,1949,1949
768,乾隆年間,Qianlong period
769,日本-東京-千代田-神田佐九間町,Japan - Tokyo - Chiyoda - Kanda Sakuma Machi
770,漢陽,Hanyang
771,集韻,Collection of rhyme
772,江戶後期,Late edo period
773,福建省建陽縣麻沙鎮,"Masha Town, Jianyang County, Fujian Province"
774,日本明治五年後,Five years after the Meiji period
775,林氏家塾,Lam Family School
776,明治二十四年,The 24th year of Meiji
777,詩緝三十六卷,Poetry volume 36
778,金地院,Gemdale Courtyard
779,納蘭揆敘,Naran Cosur
780,日本-四國-高知,Japan - Shikoku - Kochi
781,至元三年,Three years
782,校正,correction
783,正和二年,The second year of Zhenghe
784,翫月堂,Play the moon hall
785,湖廣,Huguang
786,寬永7年,Kwanaga for 7 years
787,寺廟,temple
788,日典,Nishinori
789,釋居簡,A surname
790,中國-浙江-東陽,"Dongyang, Zhejiang, China"
791,山内豊信,Toshinobu Yamauchi
792,郭璞/邢昺,Guo Pu/Xing Bing
793,崔敦诗,Choi Dunshi
794,重雕,recarving
795,日本紅葉山,Red Leaf Mountain in Japan
796,太平寰宇記,Taiping World Book
797,最下方的印章看不清,You can't see the stamp at the bottom
798,林衡,Lin Heng
799,唐寅,Tang Yin
800,天正十四年至寬永二十年之間,Between fourteen years and twenty years
801,曲直瀨養安院家,Qu Naose raises an Yuan home
802,詩童子問二十卷,The poet asked the twenty volumes
803,南宋/元末明初/江戶,Southern Song/late Yuan/Early Ming/Edo
804,江西省贛州市,"Ganzhou City, Jiangxi Province"
805,蘇洵/蘇軾/蘇轍/闕名,Su Xun/Su Shi/Su Zhe/Que name
806,日本土佐藩,"Tosa, Japan"
807,中國-福建-建陽-麻沙鎮,China - Fujian - Jianyang - Masha Town
808,日本東京市中心皇宮內舊御府圖書館,"Old Imperial Palace Library in central Tokyo, Japan"
809,中国福建,"Fujian, China"
